Course ID,Course Name,Description,Terms Offered,Equivalent Courses,Instructors,Prerequisites
GRMN 12003,Intensive German III.  200 Units.,"This intensive, three-quarter sequence brings students to high-intermediate levels in all four skills: reading, writing, speaking, and listening so that students can enter third-year level courses in German.  Learners who are starting German late in their College careers or who wish to move forward swiftly will gain skills corresponding to two full years of study. NOTE: Each course is 200 units and corresponds in workload to taking two courses.",TBD,None,Staff,None
GRMN 13100,Reading German.  100 Units.,"This course prepares students to read a variety of German texts. By the end of the quarter, students should have a fundamental knowledge of German grammar and a basic vocabulary. While the course does not teach conversational German, the basic elements of pronunciation are introduced.",Spring,None,N/A,None
GRMN 20100,Deutsche Maerchen.  100 Units.,"This intermediate course moves students with German-language competency towards a content-based seminar in German. Class time is devoted to discussion of assigned reading in German and a review and expansion of basic German grammar. Assigned reading is primarily fairy tales written by the Brothers Grimm, some well known like ""Little Red Riding Hood"" and some less well known, like ""Frau Holle."" We will identify and discuss the most common structural elements of fairy tales, such as character types and plot elements, in order to compare the fairy tales. We will cover two modern adaptations of Grimms' fairy tales to explore the political and social commentary fairy tales can provide. We will use these two adaptations from 1971 and 1996 to discuss class conflict and immigration, respectively. Finally, we read excerpts of a novella from the Romantic era to explore how fairy tale elements are used beyond the genre usually associated with children. Students complete writing assignments in German beginning with a paragraph and ending with a 1-page analytic essay and a 2-page fairy tale of their own creation. A system of drafts and regular grammar assignments help students to identify and correct their errors, improving language acuity. While students may satisfy the college language requirement with just an examination, this course is an important step in our content-based German language program at UChicago and study abroad opportunities.","Autumn
Spring
Winter",None,N/A,None
GRMN 20201,Grünes Deutschland.  100 Units.,"Over the past three decades Germany has become a global leader in environmentalism and sustainability practices. This course develops students' proficiency in all four skills (speaking, listening, reading, writing) and reviews basic grammar while exploring various aspects of ""Green Germany,"" from recycling and transportation to renewable energies (die Energiewende) to the history of the green movement. We investigate environmental practices and attitudes in German-speaking countries while comparing them with those in the US and other countries. In doing so, we consider whether environmental practices in German-speaking countries represent positive and feasible models for other countries. Students work with authentic and current materials (articles, websites, videos) and pursue a variety of independent projects (research, creative), including a final project on how to make the university campus more sustainable.","Autumn
Spring
Winter",CEGU 20201,N/A,None
GRMN 20301,Kunst und Kultur.  100 Units.,"This course is designed to provide students with the tools to analyze and discuss works of art in their historical and cultural contexts, and to prepare them for more advanced coursework in German. Though the syllabus may differ based on the instructor, the course typically includes units on film, short fiction, poetry, and the visual arts. Driving questions include the role of art in society and politics, the construction of German identity through art, and the relationship between art and history. By the end of the quarter, students will have improved their reading, writing, speaking, and listening abilities, and will have solidified their understanding of select grammatical concepts.",Autumn,None,Maeve Hooper,Prerequisite: GRMN 20201 or placement exam.
GRMN 21103,Erzaehlen.  100 Units.,"It is not necessary to take these courses in sequence, but three of the four courses are required for the major. These courses serve as preparation for seminar-style classes. Students work with a variety of texts and learn to present and participate in instructor- and student-led discussions of relevant issues and topics. Student also write short essays and longer research papers. Work in grammar, structure, and vocabulary moves students toward more idiomatic use of German.
This course develops advanced German skills through the study of narratives of various authors from different periods.
Prerequisite(s): GRMN 20300 or placement
Note(s): No auditors permitted. Must be taken for a quality grade.",Autumn,None,N/A,None
GRMN 21303,Gedicht.  100 Units.,This course develops advanced German skills through the study of poetry of various authors from different periods.,Spring,None,N/A,None
GRMN 21403,Philosophie.  100 Units.,This course develops advanced German skills through the study of philosophical texts of various authors from different periods.,Spring. Offered in even-numbered years.,None,N/A,None
GRMN 21503,Film.  100 Units.,"In Winter 2023, two sections will be taught by Prof. Burgoyne.
Film: Alltag und Verbrechen in Ostdeutschland
Nine films, the first of which from 1932 and the last of which from 2012 will serve as the material with which we examine changing methods of documentary and dramatic film. We will spend two sessions on each film, the first of which focused on the historical background of the decade in question and the second of which on discussing filmic technique. The requisite vocabulary for film analysis in German will be introduced in order to discuss various types of shots and sequences. We will analyze the methods by which filmic technique may be used to convey social criticism and the ideals of Socialism. Our focus on East German cinema and the DEFA company will theoretically ground our discussion of realism and Socialist Realism in film. The themes of ""daily life"" in the GDR will be juxtaposed with ""crimes"" such as those of the Second World War, alternative lifestyles, Republikflucht, and sedition, to name a few. All discussion, reading, and assignments in German.","TBD
Winter",None,Staff,None
GRMN 21603,Drama.  100 Units.,This course develops advanced German skill through the study of dramas and/or films of various authors/directors from different eras.,TBD,None,Staff,None
GRMN 21703,Medien und Gesellschaft.  100 Units.,,TBD,None,Staff,None
GRMN 21204,German in Practice.  100 Units.,"Internship in a German-speaking country. Students will write three substantive reports, in German, on their internship experience; and may be asked an oral presentation on the experience in GRMN 21803 Arbeitskulturen or GRMN21903 Business German.""",TBD,None,N/A,None
GRMN 21903,Business German.  100 Units.,"Students in this course acquire the language knowledge, skills and abilities that they will need to succeed in a German-language business environment. Students practice all four skills - speaking, listening, reading and writing - as they gain mastery of the various types, genres and contexts of German business communications.",TBD,None,N/A,None
GRMN 22124,The Cultural History and Politics of Postwar Germany.  100 Units.,"The premier demand upon all education is that Auschwitz not happen again,"" announced the critic Theodor Adorno on German radio in 1966. By this he meant not only the education of children, but also the re-education of the German people. After World War II, with the Third Reich in ruins and confronted with the horrors of the Holocaust, Germans were forced to reckon with their past as they attempted to build the country anew, entering into a period of dramatic political and cultural reorientation. This course traces the history of ""rebuilding"" Germany after 1945, from the immediate postwar period through the East/West division to reunification to today. Drawing on a broad range of source material, including film, literature, government documents, art, and architecture, this interdisciplinary seminar studies the limits and possibilities of conceiving of Germany as a post-war Wirtschaftswunder (economic miracle), and its implications for German cultural production. We will pay special attention to the way that debates from the postwar era still reverberate today, for instance in racial discrimination and the rise of the German far-right. This course is required for all Germanic Studies majors and minors. Readings and discussion in English.",Spring,DEMS 22124,Sophie Salvo,None
GRMN 22311,"Berlin: Conflict, Community, and Sustainability.  100 Units.","Berlin: What makes a city? Who decides how a city grows and changes, and what criteria do they use - should it be beautiful, efficient, sustainable, open, just? How do economic systems and political ideologies shape urban development? What is the ""right to the city,"" and what does it mean for city-dwellers to exercise it? These are just some of the questions we will seek to answer in our course, Berlin: Conflict, Community, and Sustainability.
This is a September Term study abroad course. The program includes a side trip over a long weekend to the cities of Hamburg and Lübeck.",Summer,"CEGU 22311, ENST 22311",Evan Carver,None
GRMN 23325,Adaptation Laboratory: Berlin at Court Theatre.  100 Units.,"This course, supported by the Franke Institute's Center for Disciplinary Innovation and team-taught by Mickle Maher, award winning playwright, and David Levin, offers students an intensive, behind the scenes introduction to the preparation of Berlin, a world-premiere production at Court Theatre, the University's Tony-Award winning professional theater. Students are invited to experience the production's preparation from start to finish, that is, from the very first rehearsal near the beginning of the quarter, through preview performances at mid-term, to its premiere near the course's conclusion. In addition to extensive conversations with the creative team, we will consider the production's source materials (especially Jason Lutes' graphic novel Berlin), its interpretive stakes, as well as the exigencies of preparing a world-premiere. Open to advanced UG's, MA students, as well as PhD students",Spring,GRMN 33325,David Levin,None
GRMN 23623,"Evil: Myth, Symbol and Reality.  100 Units.","From the horrors of the Shoah to violence suffered by individuals, the question of the origin, meaning, and reality of evil done by humans has vexed thinkers throughout the ages. This seminar is an inquiry into the problem of evil on three registers of reflection: myth, symbol, and reality. We will be exploring important philosophical, Jewish, and Christian texts. These include Martin Buber, Good and Evil, Hannah Arendt, Eichmann in Jerusalem, Immanuel Kant, Religion within the Limits of Reason Alone, Paul Ricoeur, The Symbolism of Evil, Edward Farley, Good and Evil, Hans Jonas, Mortality and Morality and Claudia Card, The Atrocity Paradigm. There will also be a viewing of the movie Seven (1995) directed by David Fincher and written by Andrew Kevin Walker. Accordingly, the seminar probes the reality of evil and the symbolic and mythic resources of religious traditions to articulate the meaning and origin of human evil. The question of ""theodicy"" is then not the primary focus given the seminar's inquiry into the fact and reality of human evil. Each student will submit a 5-7 page critical review of either Jonathan Glover's Humanity: A Moral History of the 20th Century or Susan Neiman's, Evil in Modern Thought. Each Student also will write a 15 page (double spaced;12pt font) paper on one or more of the texts read in the course with respect to her or his own research interests.",Autumn,"THEO 33600, GRMN 33623, RETH 33600, FNDL 23600, RLST 23600, JWSC 23600",William Schweiker,None
GRMN 24425,Metropolis Berlin.  100 Units.,"Berlin, with its fractured histories, has been a crucible for artists, poets, filmmakers, and cultural critics to engage with thinking about the city. The period of the Weimar Republic (1918-1933) has often been described with the metaphor of ""dancing on the volcano."" What does this term, suggestive of freedom, experimentation, but also impending doom, mean?  With Berlin's unprecedented expansion in the nineteenth- century and early twentieth centuries, distinctive new modes of perception and experience connected to the metropolis gave shape to experimental literary works. Cultural critics such as Georg Simmel and Walter Benjamin examined the impact of cities on the psyches and bodies of their inhabitants. And new media such as film captured the realities of urban life in stunning detail (as in Ruttmann's Symphony of a City), while painting attempted to depict the convulsive movements of the city.",Winter,None,Catriona MacLeod,None
GRMN 24524,The Illustrated Book.  100 Units.,"Kafka prohibited images of Gregor Samsa. In a 1915 letter to his publisher, he stipulated that the insect should not be drawn, not even to be seen from a distance. Why? Along with Henry James, Mallarmé, and others, Kafka seemed to fear that illustration would diminish the power of the text to ""illustrate"" or illuminate in its own way, as Hillis Miller has put it. The study of illustration has, however, emerged as a new interdisciplinary field in recent years, though illustration has often been neglected as an ornamental ""handmaiden"" to the printed word or as a commercial appendage to the book. This seminar will approach the topic with a focus on the heyday of the illustrated book, the nineteenth century, from the perspectives of book history, literary criticism, art history, word and image studies, and translation and adaptation studies.
Topics to be considered to include: paratextuality; illustration as translation and/or adaptation; extra-illustration; illustration and authorship; text-image interactions or non-interactions; illustration and mass production; photography and illustration.",Autumn,"ARTH 24524, GRMN 34524, ARTH 34524",Catriona Macleod,None
GRMN 24635,"Means, Motive, Murder: German Crime Fiction.  100 Units.","Edgar Allan Poe, when accused of being too much under the influence of German literary sources, claimed that: ""if in many of my productions terror has been the thesis, I maintain that terror is not of Germany, but of the soul."" In this course, we will read a selection of German crime fiction not only to be in a better position to judge Poe's protestations, but more importantly, to familiarize ourselves with a selection of canonical German writers as well as with the history and the characteristics of the genre. Why is crime fiction one of the most popular literary genres today? How does the German tradition differ from well-known whodunnits such as those by Arthur Conan Doyle or Agatha Christie? What is the relationship between the genre and society? We will consider - among other questions - the figure of the detective, the history of policing, different concepts of justice and guilt, the status of clues, indices, evidence. Readings will include Poe, E.T.A. Hoffmann, Kleist, Schiller, Droste-Hülshoff, and others. Readings and discussions in English.",Autumn,None,Margareta Ingrid Christian,None
GRMN 26225,Get Cultured in Nine Weeks: Historical Perspectives on Art and Education.  100 Units.,"Get Cultured in Nine Weeks: Historical Perspectives on Art and Education: What does it mean to 'get cultured'? Why-and how-do we do it? Does an education in the arts and letters make us more moral, more intelligent, more resistant to authority-or perhaps more submissive? These questions are at the center of debates about the place of cultural learning in the contemporary world, but our century was not the first to think critically about the social and political functions of this form of education. This course investigates how students, educators, writers, and artists conceptualized the aims and means of becoming cultured from the 1700s forward, focusing on European history and connecting it to the concerns of the present. We will pay particularly close attention to both formal and informal means of cultural education, and to the ways in which these practices have been understood to produce social structures of class, gender, and race. Readings will draw from the fields of history, literature, philosophy, sociology, and art history. At the end of the quarter, students will be asked to design their own fantasy syllabus for ""getting cultured in nine weeks.""",Spring,"HIST 32510, HIST 22510, GRMN 36225",Sophie Salvo and Alice Goff,None
GRMN 26525,German Social and Cultural Theory.  100 Units.,"In this course, we will read the major German social and cultural theorists of the twentieth century, among them Georg Simmel, Siegfried Kracauer, Walter Benjamin, Theodor Adorno, Max Horkheimer, Hannah Arendt, Herbert Marcuse, Jürgen Habermas, Niklas Luhmann. Readings will be available in both English and German, discussions will be in English.",Spring,GRMN 36525,Eric Santner,None
GRMN 26725,Staging Richard Wagner's Ring of the Nibelung in the 21st Century.  100 Units.,"This team-taught course explores the challenges of staging Richard Wagner's sprawling 19th-century tetralogy The Ring of the Nibelung in the 21st century. The course will offer an introduction to The Ring, including its complicated place in history (including its reception and production history), and how it has been thought about in recent musicology and critical theory. But first and foremost, we will be exploring how the piece is being staged today. To that end, we will explore four productions of the tetralogy that are currently being prepared at leading opera houses around the world - in Munich, London, Berlin, and Oslo - speaking, via Zoom, with artistic directors and the production teams about their ideas and ambitions. What are the interpretive challenges and opportunities in staging this mammoth work? How do these productions seek to engage the tetralogy's exceedingly complicated aesthetic ambitions, political baggage, and production history? And how do specific geographical, cultural, and historical conditions affect the artistic project of each production? Our discussions will encompass a range of fields, approaches, and topics. Among the themes we plan to examine are the aspiration to aesthetic totalization, the politics of community, the relationship between canonicity and critique, the notion of distress or emergency (the German term is Not), and some astonishingly lurid fantasies of family life-mostly of family dissolution. Moreover, we will approach the questi",Autumn,"MUSI 26725, GRMN 36725, MUSI 36725, TAPS 36518, TAPS 26518","David Levin, Hedda Høgåsen-Hallesby",None
GRMN 28872,Jews in Nazi Germany: Lion Feuchtwanger's novel The Oppermanns in historical context.  100 Units.,"Recently republished in 2022, Lion Feuchtwanger's 1933 best-seller The Oppermanns depicts a Jewish family who grapple with the Nazi seizure of power in Germany. Like many at the time, the Oppemanns think that the regime will be short-lived, but Feuchtwanger's prescient novel anticipates the entrenchment of Nazi power and the creeping curtailment of Jewish life in Germany with uncanny accuracy-from the thugs attacking individuals to the Ministry of Propaganda's demonization of Jewish Germans in mass media, via the enforced ""Aryanization"" of businesses required to employ non-Jewish managers. Discussion will focus on Feuchtwanger's nuanced portrayal of the distinct ways in which family members react to these assaults, supplemented by historical texts, including the analysis of Nazi language (1946) by Victor Klemperer, a Jewish-German survivor, and documents in the Weimar Republic Sourcebook.",Spring,"ENGL 28872, JWSC 28872, CMLT 28872, FNDL 28872",Loren Kruger,None
GRMN 29700,Reading and Research Course in German.  100 Units.,"No description available.
Prerequisite(s): Consent of instructor and director of undergraduate studies
Note(s): Students must consult with the instructor by the eighth week of the preceding quarter to determine the subject of the course and the work to be done. Students are required to submit the College Reading and Research Course Form.","Autumn,Winter,Spring",None,N/A,None
GRMN 29900,Capstone Project.  100 Units.,"A culminating senior project. This can be either a traditional BA Paper, or a project of creative inquiry.","Autumn
Spring
Winter",None,N/A,None
GLST 20004,Introduction to Asian American Studies.  100 Units.,"This course seeks to examine the historical context and pragmatic implications of the ethnopolitical category ""Asian American."" How has this category invented or domesticated norms of Asianness even as it elides, or seeks to merge, intra-ethnic and geopolitical tensions? What is the nature of the relationship between ""Asia"" and ""America,"" and how does being ""Asian American"" regiment transnational relations and the politics of identity? Discussions will cover the Chinese Exclusion Act, Japanese internment camps, the Korean and Vietnam wars, affirmative action debates, model minority and perpetual foreigner tropes, as well as responses to COVID-19. How does Asian Americanness inform approaches to race and ethnicity? In other words, what difference does it make? Through the works of Mae M. Ngae, Rey Chow, Dorinne Kondo, Yến Lê Espiritu, Jasbir Puar, Jodi Kim, and others, students will be introduced to a variety of ways forward.",Winter,"ANTH 23608, CRES 20004, HIST 28001",Alice Yeh,None
GLST 20150,Sustainable Urban Development.  100 Units.,"The course covers concepts and methods of sustainable urbanism, livable cities, resiliency, and smart growth principles from a social, environmental and economic perspective.
In this course we examine how the development in and of cities - in the US and around the world - can be sustainable, especially given predictions of a future characterized by increasing environmental and social volatility. We begin by critiquing definitions of sustainability. The fundamental orientation of the course will be understanding cities as complex socio-natural systems, and so we will look at approaches to sustainability grouped around several of the most important component systems: climate, energy, transportation, and water. With the understanding that sustainability has no meaning if it excludes human life, perspectives from both the social sciences and humanities are woven throughout: stewardship and environmental ethics are as important as technological solutions and policy measures.","Spring
Winter","CEGU 20150, ENST 20150, PBPL 20150, ARCH 20150","Winter: Staff, Spring: Evan Carver",None
GLST 20203,Caste and Race: The Politics of Radical Equality.  100 Units.,"This course will explore the bodies of knowledge surrounding the politics and practices of caste in South Asia. We will study the emergence and development of radical social movements in the colonial and postcolonial periods that were opposed to caste oppression, along with scholarship that seeks to understand how such a form of social hierarchy and difference operates within regional and national communities. We will also examine how caste interacts with forms of identity such as class, gender, and religion. Caste has often been compared to race: we will study historical parallels as well as present scholarship and activism that aligns political struggles against caste and racial injustice in South Asia and the United States.
Through close readings of primary sources and secondary literature in the fields of history, political science, anthropology and literature, the course will foreground the ubiquity of caste in everyday life in South Asia; the epistemologies that have developed to explain, understand and accommodate it; and finally the urgent, radical struggles that seek to annihilate it.",Spring,"KNOW 20203, SOCI 20529, GNSE 22233, GNSE 32233, KNOW 30203, SALC 30203, SALC 20203, SOCI 30529",Ahona Panda,None
GLST 20994,Introduction to Jainism.  100 Units.,"Jainism has long been on the margins of Religious Studies, little known beyond its otherworldly emphasis on extreme forms of asceticism, nonviolence, and vegetarianism. This course seeks to expand this popular understanding of Jainism by posing a question: What does it mean to be a Jain in the world when the Jain religion is fundamentally otherworldly in its orientation? By reading ethnographies and historical studies alongside primary sources, this course will introduce students to Jainism as an enduring lived religion whose meaning and practices have changed over time, across regions, between sectarian communities, and in conversation with Buddhism and Hinduism. By the end of the quarter, students can expect to understand Jainism as a minor religion with a major impact.",Spring,"RLST 20904, SALC 20910",Sarah Pierce Taylor,None
GLST 21001,"Climate Change, Environment, and Society.  100 Units.","How has natural and anthropogenic climate change shaped historical relationships between humans and their environments? Against the backdrop of planetary environmental emergencies of the early-21st century, this discussion-based course will consider various time scales of ecological, technological, social, and political transformation, including: the rise of agriculture, state formation, and civilizational collapse; the ""Medieval Warm Period"" and the ""Little Ice Age""; the Industrial Revolution, imperialism, and the consolidation of a global fossil fuel regime; the ""Great Acceleration"" of the mid-20th century; the development of modern climate science; and the social, political, and technological responses to human-induced global warming. Within these time scales, we will explore past dynamics of climate change, the environment, and society through the historical study of land management, population displacement and migration, resource extraction, energy production and consumption, the global commons, as well as the role of national and international governance arrangements in mediating the unequal distribution of environmental risk across the world. Ethics, morality, equity, and justice, among other concepts, will be investigated as we analyze historical connections among socio-environmental transformations and class-based, racialized, and gendered forms of inequality.",Offered twice a year.,"CEGU 20001, ENST 20011, HIST 25031",Christopher Kindell,None
GLST 21002,The Politics of Environmental Knowledge.  100 Units.,"How has ""nature"" been understood and investigated in the modern world? Building upon diverse approaches to environmental history and philosophy, the history of science, and cultural studies, this course surveys the major frameworks through which the environment has been understood, investigated, and transformed since the origins of global modernity. Such issues are explored with reference to the mobilization of science, technology, and politics in several major areas of socio-
environmental transformation in the modern world. Case studies might explore, among other issues, empire, race, and public health; cities and infectious disease since the Black Death; the 'great enclosures' of land associated with settler colonialism; the 'Green Revolution' in industrial agriculture; strategies of resource stewardship, land conservation, terraforming, hydrological engineering and
watershed protection; the politics of global warming; and current debates on urban sustainability, carbon capture and geo-engineering. The course also considers the rise and evolution of environmentalist movements and conservation strategies, and the contested visions of nature they have embraced. The course concludes by investigating the competing paradigms of knowledge, science, and environment that underpin divergent contemporary programs of environmental governance and visions of 'sustainability'.",Offered twice a year.,"ENST 20012, CEGU 20002, HIST 25032",Jessica Landau,None
GLST 21009,"Justice, Solidarity, and Global Health.  100 Units.","Global health, it is said, is ""one of the great moral movements of our time."" Health inequalities around the world are staggering, as is their toll on human suffering. What does a just response entail? What moves us to be just, and why do we so often fail? What do our failures of response tell us about the moral complexities involved, and importantly, about ourselves? In this course, we will consider these questions critically in terms of a basic problem of solidarity. Solidarity rests on our capacity for other-regard-for sympathy toward another-but how do we do that for distant others who are worlds apart? Is it possible, and what are the moral dangers of assuming that we can or cannot? We will test the importance of such questions for a just global health by examining some key theories of health justice, the insights of cultural and religious studies, and the question of what moves us to be just.",Spring,"RLST 26309, HLTH 21009, HIPS 21009, CCTS 21009",Daniel T. Kim,None
GLST 21100,Basque Culture and Society.  100 Units.,"Straddling the border of southern France and northern Spain, the Basque Country is the home of a complex national community without a state -but with a language that is unrelated to any other in the world and is perhaps the most remarkable feature of their cultural identity.  Through the analysis of a wide variety of texts and artifacts, this course will give students the the background to navigate through different dimensions of Basque culture (traditions, gastronomy, music, the language) as well as the history that has marked the development of Basque society (including the so-called Basque Conflict).",Winter,"SPAN 21101, BASQ 21100",N/A,None
GLST 21301,(Re)Branding the Balkan City: Comtemp. Belgrade/Sarajevo/Zagreb.  100 Units.,"The freedom to make and remake our cities (and ourselves) is one of the most precious yet most neglected of the human rights,"" argues David Harvey. In this course, we use an urban studies lens to explore the complex history, social fabric, architecture, infrastructure, and cultural transformation of the former Yugoslav capitals. Since their inception, these cities have relied on multifaceted exchanges of peoples and political projects, forms of knowledge, financial and cultural capital, means of production, and innovative ideas. Among others, these exchanges produced two phenomena, Yugoslav architecture, embodying one of the great political experiments of the modern era, and the Non-Aligned Movement, as explored in recent documentary films (Turajlić 2023), museum exhibits (MoMA 2018, ""Toward a Concrete Utopia: Architecture in Yugoslavia 1948-1980""), and monographs (Tito in Africa: Picturing Solidarity). Drawing on anthropological theory and ethnography of the city, we consider processes of urban destruction and renewal, practices of branding spaces and identities, metropolitan citizenship, arts and design, architectural histories and styles, and the broader politics of space. The course is complemented by cultural and historical media, guest speakers, and virtual tours. Classes are conducted in English.",Spring,"HIST 24008, ARTH 21333, ARCH 21300, REES 21300, ARTH 31333, BCSN 21300, REES 31303, BCSN 31303",Nada Petkovic,None
GLST 21501,Genealogies of Environmental Organizing and Activism.  100 Units.,"This course explores how organizations-civic, private, governmental-working in the field of environmental advocacy construct, deploy and are shaped by distinct discourses governing relationships between nature and society. The environment is a field of social action in which organizations attempt to effect change in large domains like resource conservation, access, stewardship, and a basic right to environmental quality in everyday life. The work of effecting change in these complex domains can assume a variety of forms including public policy (through the agencies of the state), private enterprise (through the agency of the market), 'third sector' advocacy (through the agency of nonprofit organizations) and social activism (through the agency of social movements and community organizations).  
State, market, civil society and social movement organizations are where ideas are transmitted from theory to practice and back again in a recursive, dialectical process. These contrasting forms of organization have different histories, wellsprings and degrees of social power. Moreover, they bring different epistemologies to their claims about being legitimate custodians of nature-that is to say they can be understood genealogically. As such, organizations working to effect environment change are at once animated by and constitutive of distinct discourses governing the relationships between nature and society.  
The course explores how those distinct discourses are associated with a suite of different organizational realms of social action; the goal is trying to connect the dots between discursive formations and organizational forms.",Autumn,"ENST 21501, CEGU 31501, CEGU 21501, SSAD 41501, SSAD 21501, HMRT 21501, MAPS 31101",Mary Beth Pudup,None
GLST 21600,"Francophone Caribbean Culture and Society: Art, Music, and Cinema.  100 Units.","This course provides an interdisciplinary survey of the contemporary Francophone Caribbean. Students will study a wide range of its cultural manifestations (performing arts like music and dance, literature, cinema, architecture and other visual arts, gastronomy). Attention is also paid to such sociolinguistic issues as the coexistence of French and Kreyòl, and the standardization of Kreyòl.",Autumn,"KREY 21600, FREN 21601, LACS 21600, CRES 21600",Gerdine Ulysse,None
GLST 21601,"Catalan Culture and Society: Art, Music, and Cinema.  100 Units.","This course provides an interdisciplinary survey of contemporary Catalonia. We study a wide range of its cultural manifestations (architecture, paintings, music, arts of the body, literature, cinema, gastronomy). Attention is also paid to some sociolinguistic issues, such as the coexistence of Catalan and Spanish, and the standardization of Catalan.",Spring,"CATA 21600, SPAN 21610",Bel Olid,None
GLST 21816,A History of Youth in Latin America.  100 Units.,"This course will examine the history of youth-as a social category, and as an experience-in Latin America. We will consider histories of childhood, student activism, and youth culture across the region to consider how young people experience everyday life, and how they effect change. Course materials will combine primary sources including film, music, and other visual and performance artworks with scholarship on childhood and youth.",Spring,"CHDV 21816, LACS 21816, HIST 26302",Diana Schwartz-Francisco,None
GLST 21950,"Dark Stairways of Desire"": Lusting beyond the Norm in Contemporary Catalan Literature.  100 Units.","Although we can find a significant number of authors exploring queer desire and identities throughout the history of Catalan Literature (from lesbian scenes in Joanot Martorell's ""Tirant lo blanc"" to expanding gender identities in Maria Aurèlia Capmany's ""Quim/Quima""), more recent Catalan Literature is blooming with queerness and non-normative lust. This course will give an overview of contemporary Catalan works influenced by feminist and queer debates from the seventies on. Beginning with renowned poet Maria Mercè Marçal's only novel, ""The Passion According to Rennée Vivien,"" winner of several of the most prestigious literary awards for Catalan Literature, we will go on to discover 21st-century works by Eva Baltasar and Anna Punsoda. We will also read poems, short stories and excerpts from authors such as Maria Sevilla, Mireia Calafell, Raquel Santanera, Sebastià Portell, Sil Bel and Ian Bermúdez, among others.",Winter,"GNSE 23150, SPAN 21950, CATA 21950",Bel Olid,None
GLST 22101,"Disease, Health, and the Environment in Global Context.  100 Units.","Recent concerns about monkeypox, COVID-19, Zika virus, and Ebola have attracted renewed attention to previous disease outbreaks that have significantly shaped human political, social, economic, and environmental history. Such diseases include: smallpox during the 16th-century Columbian exchange; syphilis during the 18th-century exploration and settlement of the Pacific; bubonic plague in the late-19th-century colonization and urbanization of South and East Asia; and yellow fever during America's 20th-century imperial projects across the Caribbean. Through readings, discussions, library visits, and written assignments that culminate in a final project, students in this course will explore how natural and human-induced environmental changes have altered our past experiences with disease and future prospects for health. First, we will examine how early writers understood the relationship between geography, environment, hereditary constitution, race, gender, and human health. We will then analyze the symbiotic relationship among pathogens, human hosts, and their environments. Finally, we will explore how social factors (e.g. migration, gendered divisions of labor, poverty, and segregation) and human interventions (e.g. epidemiology, medical technology, and sanitary engineering) have influenced the distribution of infectious diseases and environmental risks.",Spring,"HIST 25033, CEGU 22100, HIPS 22210, RDIN 22100, HLTH 22100",Christopher Kindell,None
GLST 22105,Sex and Gender in The City.  100 Units.,"This course is designed to introduce students to some of the key concerns at the intersection of gender studies and urban studies. In this course, we will take gender relations and sexuality as our primary concern and as a constitutive aspect of social relations that vitally shape cities and urban life. We will examine how gender is inscribed in city landscapes, how it is lived and embodied in relation to race, class, and sexuality, and how it is (re)produced through violence, inequality, and resistance. Over the course of the quarter, we will draw on an interdisciplinary scholarship that approaches the central question of how and why thinking about urban life in relation to gender and sex matters.",Spring,"ARCH 22105, SOCI 28088, GNSE 12105, ENST 12105",Sneha Annavarapu,None
GLST 22123,Global Perspectives on Reproductive Justice Theory and Practice.  100 Units.,"The US Supreme Court's 2022 decision in Dobbs v. Jackson Women's Health Organization has sharpened our awareness of the perils that besiege our reproductive futures. This course offers a deep dive into comparative reproductive justice theory and practice rooted both in unique cultural particularities and in globally resonant issues and challenges. While exposing students to the foundational texts shaping the reproductive justice movement, the course shall engage critically with the possibilities and limitations of a rights based framework and the challenges and liberatory potential of a justice based approach to reproductive decision-making. Drawing from literature and media from across the world, the course shall provide global perspectives on issues as varied as contraception, assisted reproductive technology, mass sterilization, and family leave, along with scholarship and resources from the US. While engaging critically with theory, the course shall also provide practitioners' perspectives through guest lectures by ethnographers, lawyers, and healthcare professionals working in the field. This course counts as a Foundations course for GNSE majors.",Autumn,"HMRT 12123, GNSE 12123",Malavika Parthasarathy,None
GLST 22211,Against Caste and Race: A Parallel History of Resistance in India and in the United States.  100 Units.,"The present moment represents a critical juncture in the history of movements against race-based discrimination in the United States, and caste-based oppression in India and in the Indian diaspora across the world. Since 2021, several educational institutions and corporations in the US have recognized caste as a protected category. Against this background, the course invites students to pay attention to caste as an emergent and recent form of discrimination in the US, and evaluate it against the oldest, race. 
The course will provide students with an overview of the major intellectual trajectories of the two movements and identify notable moments of synchronicity and solidarity between them. To this end, students will read seminal works by anti-caste and anti-race intellectuals and activists. Together, we will seek to understand the affective experiences at stake by watching films, listening to podcasts, and reading poetry and fiction. The focus will be on the analysis of innovative strategies of resistance offered against caste and race, and modes through which the discriminated claimed selfhood and emerged as subjects. Students will also examine how race and caste privileges that operate at an everyday level are directly linked with histories of discrimination and perpetuate structural exploitation.  Finally, we will have a chance to compare the emergence of Critical Caste Studies as a new disciplinary approach alongside the rise of Critical Race Studies.",Winter,"CRES 22211, SALC 25324, HIST 26814",Sanjukta Poddar,None
